name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Luise Rainer,1910.0,1910-01-12,"Dusseldorf, Germany",White,Jewish,Straight,1937.0,Best Actress,The Great Ziegfeld,27.0
Luise Rainer,1910.0,1910-01-12,"Dusseldorf, Germany",White,Jewish,Straight,1938.0,Best Actress,The Good Earth,28.0
Broderick Crawford,1911.0,1911-12-09,"Philadelphia, Pa",White,Unknown,Straight,1950.0,Best Actor,All The King's Men,39.0
Ginger Rogers,1911.0,1911-07-16,"Independence, Mo",White,Christian Science,Straight,1941.0,Best Actress,Kitty Foyle,30.0
Hugh Griffith,1912.0,1912-05-30,"Marian Glas, Anglesey, Wales",White,Unknown,Unknown,1960.0,Best Supporting Actor,Ben-Hur,48.0
Karl Malden,1912.0,1912-03-22,"Chicago, Il",White,Unknown,Straight,1952.0,Best Supporting Actor,A Streetcar Named Desire,40.0
Wendy Hiller,1912.0,1912-08-15,"Bramhall, Cheshire, England",White,Unknown,Straight,1959.0,Best Supporting Actress,Separate Tables,47.0
Gig Young,1913.0,1913-11-04,"St. Cloud, Mn",White,Unknown,Straight,1970.0,Best Supporting Actor,"They Shoot Horses, Don't They?",57.0
Burt Lancaster,1913.0,1913-11-02,New York City,White,Protestant,Straight,1961.0,Best Actor,Elmer Gantry,48.0
Loretta Young,1913.0,1913-01-06,"Salt Lake City, Ut",White,Roman Catholic,Straight,1948.0,Best Actress,The Farmer's Daughter,35.0
Vivien Leigh,1913.0,1913-11-05,"Darjeeling, India",White,Roman Catholic,Straight,1952.0,Best Actress,A Streetcar Named Desire,39.0
Vivien Leigh,1913.0,1913-11-05,"Darjeeling, India",White,Roman Catholic,Straight,1940.0,Best Actress,Gone with the Wind,27.0
Harold Russell,1914.0,1914-01-14,"North Sydney, Nova Scotia, Canada",White,Unknown,Straight,1947.0,Best Supporting Actor,The Best Years of Our Lives,33.0
Beatrice Straight,1914.0,1914-08-02,"Old Westbury, Ny",White,Unknown,Straight,1977.0,Best Supporting Actress,Network,63.0
Alec Guinness,1914.0,1914-04-02,"London, England",White,Roman Catholic,Bisexual,1958.0,Best Actor,The Bridge on the River Kwai,44.0
Jo Van Fleet,1914.0,1914-12-30,"Oakland, Ca",White,Unknown,Straight,1956.0,Best Supporting Actress,East of Eden,42.0
Robert Wise,1914.0,1914-09-10,"Winchester, In",White,Unknown,Straight,1966.0,Best Director,The Sound of Music,52.0
Robert Wise,1914.0,1914-09-10,"Winchester, In",White,Unknown,Straight,1961.0,Best Director,West Side Story,47.0
Frank Sinatra,1915.0,1915-12-12,"Hoboken, Nj",White,Unknown,Straight,1954.0,Best Supporting Actor,From Here to Eternity,39.0
Edmond O'Brien,1915.0,1915-09-10,New York City,White,Roman Catholic,Straight,1955.0,Best Supporting Actor,The Barefoot Contessa,40.0
Anthony Quinn,1915.0,1915-04-21,"Chihuahua, Mexico",Hispanic,Unknown,Straight,1957.0,Best Supporting Actor,Lust for Life,42.0
Anthony Quinn,1915.0,1915-04-21,"Chihuahua, Mexico",Hispanic,Unknown,Straight,1953.0,Best Supporting Actor,Viva Zapata!,38.0
Ingrid Bergman,1915.0,1915-08-29,"Stockholm, Sweden",White,Unknown,Straight,1975.0,Best Supporting Actress,Murder on the Orient Express,60.0
Ingrid Bergman,1915.0,1915-08-29,"Stockholm, Sweden",White,Unknown,Straight,1957.0,Best Actress,Anastasia,42.0
Ingrid Bergman,1915.0,1915-08-29,"Stockholm, Sweden",White,Unknown,Straight,1945.0,Best Actress,Gaslight,30.0
Gregory Peck,1916.0,1916-04-05,"La Jolla, Ca",White,Roman Catholic,Straight,1963.0,Best Actor,To Kill a Mockingbird,47.0
Mercedes McCambridge,1916.0,1916-03-17,"Joliet, Il",White,Roman Catholic,Straight,1950.0,Best Supporting Actress,All the King's Men,34.0
Peter Finch,1916.0,1916-09-28,"South Kensington, London, England",White,Unknown,Straight,1977.0,Best Actor,Network,61.0
Olivia de Havilland,1916.0,1916-07-01,"Tokyo, Japan",White,Unknown,Straight,1947.0,Best Actress,To Each His Own,31.0
Olivia de Havilland,1916.0,1916-07-01,"Tokyo, Japan",White,Unknown,Straight,1950.0,Best Actress,The Heiress,34.0
Jane Wyman,1917.0,1917-01-05,"St. Joseph, Mo",White,Roman Catholic,Straight,1949.0,Best Actress,Johnny Belinda,32.0
Celeste Holm,1917.0,1917-04-29,New York City,White,Unknown,Straight,1948.0,Best Supporting Actress,Gentleman's Agreement,31.0
Ernest Borgnine,1917.0,1917-01-24,"Hamden, Ct",White,Unknown,Straight,1956.0,Best Actor,Marty,39.0
Joan Fontaine,1917.0,1917-10-22,"Tokyo, Japan",White,Unknown,Straight,1940.0,Best Actress,Suspicion,23.0
Art Carney,1918.0,1918-11-04,"Mount Vernon, Ny",White,Unknown,Straight,1975.0,Best Actor,Harry and Tonto,57.0
Jerome Robbins,1918.0,1918-10-11,New York City,White,Jewish,Gay,1962.0,Best Director,West Side Story,44.0
